Language,Metric,Real Mean,Real Std,Random Mean,Random Std,KS Stat,p-value,Significant
English,arity,0.944,1.288,0.944,0.948,0.1259,0.0,True
English,depth,5.52,3.007,7.083,3.742,0.18,0.0,True
English,density,0.091,0.074,0.091,0.074,0.0,1.0,False
Hindi,arity,0.953,1.117,0.953,0.953,0.0471,0.0,True
Hindi,depth,7.305,2.83,8.271,3.139,0.1245,0.0,True
Hindi,density,0.058,0.029,0.058,0.029,0.0,1.0,False
German,arity,0.948,1.323,0.948,0.947,0.1421,0.0,True
German,depth,5.382,2.258,7.65,3.271,0.3281,0.0,True
German,density,0.068,0.04,0.068,0.04,0.0,1.0,False
Spanish,arity,0.963,1.214,0.963,0.961,0.0924,0.0,True
Spanish,depth,7.538,3.317,9.548,4.117,0.2298,0.0,True
Spanish,density,0.051,0.036,0.051,0.036,0.0,1.0,False
Chinese,arity,0.959,1.277,0.959,0.96,0.1072,0.0,True
Chinese,depth,6.135,2.172,9.058,3.59,0.3795,0.0,True
Chinese,density,0.05,0.023,0.05,0.023,0.0,1.0,False
Arabic,arity,0.973,1.117,0.973,0.973,0.0235,0.0,True
Arabic,depth,9.981,4.669,11.43,6.007,0.1218,0.0,True
Arabic,density,0.051,0.059,0.051,0.059,0.0,1.0,False
Russian,arity,0.943,1.327,0.943,0.945,0.1406,0.0,True
Russian,depth,5.071,2.66,7.061,3.482,0.2486,0.0,True
Russian,density,0.086,0.064,0.086,0.064,0.0,1.0,False
Japanese,arity,0.958,1.076,0.958,0.961,0.0289,0.0,True
Japanese,depth,8.495,4.117,8.734,4.106,0.0294,0.004564,True
Japanese,density,0.062,0.047,0.062,0.047,0.0,1.0,False
Turkish,arity,0.91,1.304,0.91,0.91,0.1555,0.0,True
Turkish,depth,3.514,1.964,5.099,2.747,0.2435,0.0,True
Turkish,density,0.131,0.079,0.131,0.079,0.0,1.0,False
Basque,arity,0.926,1.271,0.926,0.929,0.1375,0.0,True
Basque,depth,4.212,1.709,6.034,2.503,0.3332,0.0,True
Basque,density,0.094,0.05,0.094,0.05,0.0,1.0,False
